port,service,version,risk_assessment,risk_assessment.1,host,port.1,service.1,version/info,risk,risk_level
21/tcp,ftp,53/tcp,,,,,,,,
80/tcp,http,,,,,,,,,
443/tcp,https,,,,,,,,,
5555/tcp,freeciv,MAC,,,,,,,,
21/tcp,ftp,53/tcp,✅ No known issue detected,,,,,,,
80/tcp,http,,✅ No known issue detected,,,,,,,
443/tcp,https,,✅ No known issue detected,,,,,,,
5555/tcp,freeciv,MAC,⚠️ Possible outdated version (Freeciv Unknown),,,,,,,
21/tcp,ftp,53/tcp,,✅ No known issue detected,192.168.1.1,,,,,
80/tcp,http,,,✅ No known issue detected,192.168.1.1,,,,,
443/tcp,https,,,✅ No known issue detected,192.168.1.1,,,,,
5555/tcp,freeciv,MAC,,⚠️ Possible outdated version (Freeciv Unknown),192.168.1.1,,,,,
,,,,,,21.0,ftp,,,
,,,,,,53.0,domain,,,
,,,,,,80.0,http,,,
,,,,,,443.0,ssl,,,
21,ftp,,,,,,,Bftpd 2.2,Weak authentication risk,
53,domain,,,,,,,dnsmasq 2.78,Unknown,
80,http,,,,,,,Boa HTTPd 0.94.13,Outdated web server may allow XSS/RCE,
443,ssl,,,,,,,,Unknown,
21/tcp,ftp,,,,,,,,,
53/tcp,domain,,,,,,,,,
80/tcp,http,,,,,,,,,
443/tcp,https,,,,,,,,,
5555/tcp,freeciv,,,,,,,,,
21/tcp,ftp,53/tcp,✅ No known issue detected,,,,,,,
80/tcp,http,,✅ No known issue detected,,,,,,,
443/tcp,https,,✅ No known issue detected,,,,,,,
5555/tcp,freeciv,MAC,⚠️ Possible outdated version (Freeciv Unknown),,,,,,,
21/tcp,ftp,53/tcp,,✅ No known issue detected,192.168.1.1,,,,,
80/tcp,http,,,✅ No known issue detected,192.168.1.1,,,,,
443/tcp,https,,,✅ No known issue detected,192.168.1.1,,,,,
5555/tcp,freeciv,MAC,,⚠️ Possible outdated version (Freeciv Unknown),192.168.1.1,,,,,
,,,,,,,,,,Info
,,,,,,,,,,
,,,,,,,,,,Info
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,21.0,ftp,,,
,,,,,,53.0,domain,,,
